ID Race,Race,ID State,State,ID Year,Year,Household Income by Race,Household Income by Race Moe,Slug State
0,Total,04000US01,Alabama,2018,2018,49861,783,alabama
0,Total,04000US02,Alaska,2018,2018,74346,2288,alaska
0,Total,04000US04,Arizona,2018,2018,59246,732,arizona
0,Total,04000US05,Arkansas,2018,2018,47062,713,arkansas
0,Total,04000US06,California,2018,2018,75277,317,california
0,Total,04000US08,Colorado,2018,2018,71953,655,colorado
0,Total,04000US09,Connecticut,2018,2018,76348,921,connecticut
0,Total,04000US10,Delaware,2018,2018,64805,1570,delaware
0,Total,04000US11,District of Columbia,2018,2018,85203,3414,district-of-columbia
0,Total,04000US12,Florida,2018,2018,55462,384,florida
0,Total,04000US13,Georgia,2018,2018,58756,711,georgia
0,Total,04000US15,Hawaii,2018,2018,80212,2020,hawaii
0,Total,04000US16,Idaho,2018,2018,55583,915,idaho
0,Total,04000US17,Illinois,2018,2018,65030,500,illinois
0,Total,04000US18,Indiana,2018,2018,55746,522,indiana
0,Total,04000US19,Iowa,2018,2018,59955,877,iowa
0,Total,04000US20,Kansas,2018,2018,58218,773,kansas
0,Total,04000US21,Kentucky,2018,2018,50247,567,kentucky
0,Total,04000US22,Louisiana,2018,2018,47905,740,louisiana
0,Total,04000US23,Maine,2018,2018,55602,1326,maine
0,Total,04000US24,Maryland,2018,2018,84223,1022,maryland
0,Total,04000US25,Massachusetts,2018,2018,79835,970,massachusetts
0,Total,04000US26,Michigan,2018,2018,56697,406,michigan
0,Total,04000US27,Minnesota,2018,2018,70315,539,minnesota
0,Total,04000US28,Mississippi,2018,2018,44717,793,mississippi
0,Total,04000US29,Missouri,2018,2018,54478,751,missouri
0,Total,04000US30,Montana,2018,2018,55328,1172,montana
0,Total,04000US31,Nebraska,2018,2018,59566,1072,nebraska
0,Total,04000US32,Nevada,2018,2018,58646,1133,nevada
0,Total,04000US33,New Hampshire,2018,2018,74991,1555,new-hampshire
0,Total,04000US34,New Jersey,2018,2018,81740,687,new-jersey
0,Total,04000US35,New Mexico,2018,2018,47169,900,new-mexico
0,Total,04000US36,New York,2018,2018,67844,637,new-york
0,Total,04000US37,North Carolina,2018,2018,53855,573,north-carolina
0,Total,04000US38,North Dakota,2018,2018,63837,2324,north-dakota
0,Total,04000US39,Ohio,2018,2018,56111,425,ohio
0,Total,04000US40,Oklahoma,2018,2018,51924,450,oklahoma
0,Total,04000US41,Oregon,2018,2018,63426,1056,oregon
0,Total,04000US42,Pennsylvania,2018,2018,60905,315,pennsylvania
0,Total,04000US44,Rhode Island,2018,2018,64340,2058,rhode-island
0,Total,04000US45,South Carolina,2018,2018,52306,631,south-carolina
0,Total,04000US46,South Dakota,2018,2018,56274,1454,south-dakota
0,Total,04000US47,Tennessee,2018,2018,52375,489,tennessee
0,Total,04000US48,Texas,2018,2018,60629,279,texas
0,Total,04000US49,Utah,2018,2018,71414,741,utah
0,Total,04000US50,Vermont,2018,2018,60782,1551,vermont
0,Total,04000US51,Virginia,2018,2018,72577,686,virginia
0,Total,04000US53,Washington,2018,2018,74073,697,washington
0,Total,04000US54,West Virginia,2018,2018,44097,1016,west-virginia
0,Total,04000US55,Wisconsin,2018,2018,60773,391,wisconsin
0,Total,04000US56,Wyoming,2018,2018,61584,1401,wyoming
0,Total,04000US72,Puerto Rico,2018,2018,20296,426,puerto-rico
1,White,04000US01,Alabama,2018,2018,57661,1068,alabama
1,White,04000US02,Alaska,2018,2018,82967,3279,alaska
1,White,04000US04,Arizona,2018,2018,61080,492,arizona
1,White,04000US05,Arkansas,2018,2018,50841,717,arkansas
1,White,04000US06,California,2018,2018,77904,505,california
1,White,04000US08,Colorado,2018,2018,74361,889,colorado
1,White,04000US09,Connecticut,2018,2018,83337,1124,connecticut
1,White,04000US10,Delaware,2018,2018,69698,1988,delaware
1,White,04000US11,District of Columbia,2018,2018,136460,3359,district-of-columbia
1,White,04000US12,Florida,2018,2018,59004,572,florida
1,White,04000US13,Georgia,2018,2018,66421,732,georgia
1,White,04000US15,Hawaii,2018,2018,79722,3517,hawaii
1,White,04000US16,Idaho,2018,2018,56765,962,idaho
1,White,04000US17,Illinois,2018,2018,70692,477,illinois
1,White,04000US18,Indiana,2018,2018,59113,762,indiana
1,White,04000US19,Iowa,2018,2018,61217,696,iowa
1,White,04000US20,Kansas,2018,2018,60465,583,kansas
1,White,04000US21,Kentucky,2018,2018,52021,579,kentucky
1,White,04000US22,Louisiana,2018,2018,59240,1337,louisiana
1,White,04000US23,Maine,2018,2018,55953,1375,maine
1,White,04000US24,Maryland,2018,2018,92394,1179,maryland
1,White,04000US25,Massachusetts,2018,2018,83090,1090,massachusetts
1,White,04000US26,Michigan,2018,2018,61053,376,michigan
1,White,04000US27,Minnesota,2018,2018,73027,775,minnesota
1,White,04000US28,Mississippi,2018,2018,55609,1236,mississippi
1,White,04000US29,Missouri,2018,2018,57684,835,missouri
1,White,04000US30,Montana,2018,2018,56689,1147,montana
1,White,04000US31,Nebraska,2018,2018,61457,870,nebraska
1,White,04000US32,Nevada,2018,2018,63849,1796,nevada
1,White,04000US33,New Hampshire,2018,2018,75653,1338,new-hampshire
1,White,04000US34,New Jersey,2018,2018,87765,1313,new-jersey
1,White,04000US35,New Mexico,2018,2018,50054,912,new-mexico
1,White,04000US36,New York,2018,2018,75976,510,new-york
1,White,04000US37,North Carolina,2018,2018,60701,458,north-carolina
1,White,04000US38,North Dakota,2018,2018,66983,2345,north-dakota
